"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"34","332.22054311634537","240.20050995542394","4.804631112829856","-0.3082463291933374","0.014399999999999968","0.014599999999999946","0.0142","1400","0.00020173721881581262","0.00020173721881581262","0.00020173721881581262","","","true"
"35","358.61692830147047","325.04988279210755","4.8652723774537945","-0.30823309297517987","0.026000000000000023","0.023399999999999976","0.0286","1400","0.0017100137616334352","0.0017100137616334352","0.0017100137616334352","35_47:0.010775739503870563","35_47:660","true"
"36","385.668078413291","223.78515445135497","4.730256651099683","0","0.013600000000000056","0.014800000000000035","0.0124","1400","0.0000976118130459057","0.0000976118130459057","0.0000976118130459057","36_32:0.006959629645608367","36_32:660","true"
"37","248.63373369249922","36.764599678400046","4.936345246982224","-0.3061260220579156","0.014100000000000001","0.0132","0.015000000000000013","1400","0.00021177915188435882","0.00021177915188435882","0.00021177915188435882","37_52:0.018842005375454052;37_38:0.006198463388128961","37_52:660;37_38:660","true"
"38","276.7478633905601","158.9899312252066","4.812937056115384","-0.3090441982328432","0.042100000000000026","0.0324","0.05179999999999996","1400","0.00029481567569466377","0.00029481567569466377","0.00029481567569466377","","","true"
"39","345.55800932193847","91.41067951205494","4.699712555079101","-0.3088854355334065","0.008099999999999996","0.0084","0.007800000000000029","1400","0.0002638257839844082","0.0002638257839844082","0.0002638257839844082","39_33:0.026996439060928745;39_38:0.007298434651577174","39_33:660;39_38:660","true"
"40","86.83051696815372","5.590362193463657","4.892204016333904","-0.30769778101539386","0.007199999999999984","0.007199999999999984","0.0072","1400","0.00032925204413899084","0.00032925204413899084","0.00032925204413899084","40_41:0.010177006880725509;40_39:0.004801577255791861","40_41:660;40_39:660","true"
"41","192.4469773655955","98.72206075009451","4.993949755236521","-0.30666988456443384","0.03710000000000002","0.0368","0.03739999999999999","1400","0.00046161410774478873","0.00046161410774478873","0.00046161410774478873","","","true"
"42","132.03265934534397","5.263624458613854","4.789258001094259","-0.3092189965130921","0.0042999999999999705","0.00539999999999996","0.0032","1400","0.0004171394349289847","0.0004171394349289847","0.0004171394349289847","42_41:0.009888124364378137;42_43:0.006009812773739687","42_41:660;42_43:660","true"
"43","131.03664507117557","124.79358785660233","4.9308066302149625","-0.3075347075601374","0.014899999999999913","0.015199999999999991","0.0146","1400","0.00022207822063321874","0.00022207822063321874","0.00022207822063321874","43_34:0.004773195135067909;43_44:0.004838262834018808","43_34:660;43_44:660","true"
"44","237.24327034688852","18.981863172515677","4.826601358291487","-0.30878481550927667","0.014100000000000001","0.012","0.016199999999999992","1400","0.00019441849924580157","0.00019441849924580157","0.00019441849924580157","","","true"
"45","244.1774557750826","264.4743496966083","4.924035888142842","-0.3071097576761717","0.03059999999999996","0.0302","0.031000000000000028","1400","0.0004935214867643224","0.0004935214867643224","0.0004935214867643224","45_54:0.009772284765817485;45_46:0.0078045724640324055;45_44:0.006327055188979219","45_54:660;45_46:660;45_44:660","true"
"46","360.32153249768965","377.9796695340864","4.853320476539692","-0.30865419833002966","0.16549999999999998","0.15339999999999998","0.1776","1400","0.00019528114615931808","0.00019528114615931808","0.00019528114615931808","46_47:0.004686525928199625","46_47:660","true"
"47","366.7143009641802","45.00587559085508","4.797728009712981","-0.3090685843813135","0.010199999999999987","0.0124","0.008000000000000007","1400","0.00012039899191383274","0.00012039899191383274","0.00012039899191383274","","","true"
"48","352.88877132680625","234.27599488945046","4.873757164381655","-0.30796966519372043","0.02639999999999998","0.02080000000000004","0.032","1400","0.0003854773756178622","0.0003854773756178622","0.0003854773756178622","48_47:0.007314029448909937;48_49:0.041444800094520784","48_47:660;48_49:660","true"
"49","194.90026109466675","6.913713443364602","4.842887323413607","0","0.009800000000000031","0.012","0.007600000000000051","1400","0.0018302477254751532","0.0018302477254751532","0.0018302477254751532","49_50:0.09587142263907526","49_50:660","true"
"50","178.9561078187744","6.096944400188095","5.003768596014749","-0.30572919884522587","0.018299999999999983","0.023800000000000043","0.0128","1400","0.002520577983277842","0.002520577983277842","0.002520577983277842","50_51:0.05702085043973351","50_51:660","true"
"51","176.71580227833192","33.73862012629308","4.932003104113781","-0.30616136401130345","0.028100000000000014","0.0286","0.027599999999999958","1400","0.00018251151293223223","0.00018251151293223223","0.00018251151293223223","51_36:0.005396978601309138","51_36:660","true"
"52","202.59396494020996","22.652213192134795","4.977930029840127","-0.30556697106388314","0.025600000000000067","0.02839999999999998","0.0228","1400","0.0010265638866895465","0.0010265638866895465","0.0010265638866895465","52_56:0.013834391901608206","52_56:660","true"
"53","341.97108768498964","8.863968917162632","4.848815124834233","-0.3075268753502783","0.013900000000000023","0.0076","0.020199999999999996","1400","0.0002671443518456082","0.0002671443518456082","0.0002671443518456082","53_41:0.01018078301523409","53_41:660","true"
"54","305.5100842206842","114.06456993019992","4.878347138490953","-0.3069458254441859","0.01419999999999999","0.011399999999999966","0.017","1400","0.0003500009325241032","0.0003500009325241032","0.0003500009325241032","","","true"
"55","102.31119718376198","6.606612797051524","4.907304062970175","-0.3073215185005289","0.043333333333333335","0.05666666666666664","0.03","1400","0.00232065317923808","0.00232065317923808","0.00232065317923808","55_49:0.06122275636582364","55_49:660","true"
"56","73.30778837990795","58.4063915994537","5.115811723133102","-0.3040137770050246","0.023499999999999965","0.032399999999999984","0.0146","1400","0.0003428220483386194","0.0003428220483386194","0.0003428220483386194","","","true"
"57","270.42943453303036","82.15301326747941","4.969368406042543","-0.30548036357040764","0.006700000000000039","0.005800000000000027","0.0076","1400","0.001050863339686532","0.001050863339686532","0.001050863339686532","57_56:0.01285944164869568;57_58:0.013998338303049224","57_56:660;57_58:660","true"
"58","349.31059811782234","199.39528473164467","4.737300487095796","-0.3112562293028337","0.09570000000000001","0.089","0.10240000000000005","1400","0.00020011483474066796","0.00020011483474066796","0.00020011483474066796","58_71:0.0043289471813929","58_71:660","true"
"59","359.80133162428933","254.0305285923783","4.901520881642768","-0.3070516806225324","0.016000000000000014","0.015199999999999991","0.0168","1400","0.00014392443338855326","0.00014392443338855326","0.00014392443338855326","59_58:0.0050498831744899275;59_60:0.0041069149431010865","59_58:660;59_60:660","true"
"60","322.8363537906784","265.2054531842567","4.937701574592095","-0.3069452313257832","0.02839999999999998","0.028200000000000003","0.0286","1400","0.0002331419037031074","0.0002331419037031074","0.0002331419037031074","60_53:0.007950172044827286","60_53:660","true"
"61","323.8517871609786","245.95364843735564","4.8641761578146925","-0.3089108825350579","0.30499999999999994","0.5","0.11","1400","0.0058757492374876385","0.0058757492374876385","0.0058757492374876385","61_60:1;61_62:1","61_60:660;61_62:660","true"
"62","384.160401326748","163.55577953461366","4.650876890088201","-0.311771769762377","0.014899999999999913","0.021599999999999953","0.0082","1400","0.00019549588542626384","0.00019549588542626384","0.00019549588542626384","62_72:0.00763490755302379","62_72:660","true"
"63","376.6424002573234","108.22458083122669","4.8821557529751525","-0.3077224207866349","0.0052000000000000934","0.0046","0.005800000000000027","1400","0.0003234404182948601","0.0003234404182948601","0.0003234404182948601","63_62:0.007449508272939109","63_62:660","true"
"64","143.65013345527876","95.1809682439614","4.956186850382458","-0.3072535034857098","0.00649999999999995","0.009000000000000008","0.004","1400","0.0003172833486021891","0.0003172833486021891","0.0003172833486021891","64_54:0.13353259681238247;64_63:0.015668721518235923","64_54:428;64_63:660","true"
"65","343.5064160201873","174.34869400770663","4.761273099949492","-0.30847551722691047","0.017000000000000015","0.0192","0.014800000000000035","1400","0.00024671548307993575","0.00024671548307993575","0.00024671548307993575","65_64:0.008904222381406063","65_64:660","true"
"66","167.1074593512953","6.307380195921776","4.94149341929306","-0.2827533936570362","0.22499999999999998","0.18","0.27","1400","0.002528455042851897","0.002528455042851897","0.002528455042851897","66_73:0.050332361116435353;66_65:0.06420683305050987","66_73:660;66_65:660","true"
"67","396.2067011095171","7.076868984173308","5.042667805930028","-0.30553261906714385","0.11833333333333329","0.08","0.15666666666666662","1400","0.002764975351439747","0.002764975351439747","0.002764975351439747","67_66:0.12192875261249014","67_66:660","true"
"68","162.3320432499738","3.477441668621243","5.128337442667291","-0.3037249053723611","0.046666666666666634","0.03666666666666667","0.05666666666666664","1400","0.005547741597804194","0.005547741597804194","0.005547741597804194","68_67:0.12608462575779134;68_55:0.169527004644352;68_69:0.1848182763585604","68_67:660;68_55:660;68_69:660","true"
"69","238.97428740904888","3.49020399358236","5.073663225205111","-0.303766875764741","0.007299999999999973","0.0082","0.006399999999999961","1400","0.0039941581257470354","0.0039941581257470354","0.0039941581257470354","69_70:0.1179190587511551","69_70:660","true"
"70","305.2723818654039","4.85845153919387","4.875369690156088","-0.30702041690984844","0.08350000000000002","0.09040000000000004","0.0766","1400","0.002810281601180639","0.002810281601180639","0.002810281601180639","","","true"
"71","430.1754606547031","294.07108411639484","4.826609562357174","-0.3088117820479275","0.009099999999999997","0.008399999999999963","0.0098","1400","0.00008626088401689557","0.00008626088401689557","0.00008626088401689557","71_77:0.006908380766350503","71_77:660","true"
"72","292.2175323351329","22.02364274398714","4.8280479473003215","-0.30825371875747126","0.026799999999999935","0.0262","0.02739999999999998","1400","0.0004279180954119388","0.0004279180954119388","0.0004279180954119388","","","true"
"73","223.71365280038466","100.54612165397536","4.874118548998845","-0.3077336334044076","0.043333333333333335","0.033333333333333326","0.05333333333333334","1400","0.0003090734467124573","0.0003090734467124573","0.0003090734467124573","","","true"
"74","281.1133664051576","242.77971997612985","4.717478162531599","-0.30924481406023596","0.052200000000000024","0.050000000000000044","0.0544","1400","0.0002657194643130016","0.0002657194643130016","0.0002657194643130016","74_70:0.0671959569602203","74_70:660","true"
"75","256.27891521791764","132.49785756398242","4.915101684625649","-0.3067429768189127","0.03420000000000001","0.038799999999999946","0.0296","1400","0.0001311168752323159","0.0001311168752323159","0.0001311168752323159","75_76:0.0037970473657237824","75_76:660","true"
"76","263.35751847172344","285.7217061084131","4.861168911925869","-0.30806771434897606","0.014000000000000012","0.0142","0.013800000000000034","1400","0.00014439573635985643","0.00014439573635985643","0.00014439573635985643","76_77:0.004253418824015115","76_77:660","true"
"77","382.720970241086","101.35664049577387","4.720494768111778","-0.3106297524124092","0.21166666666666667","0.16333333333333333","0.26","1400","0.00011451178600373415","0.00011451178600373415","0.00011451178600373415","","","true"
"78","135.93005825421895","237.9605972921493","4.898508501839913","-0.3075239620356322","0.05666666666666664","0.04666666666666667","0.06666666666666665","1400","0.00025269490549436143","0.00025269490549436143","0.00025269490549436143","78_79:0.009787228061890474;78_77:0.008511141940752115","78_79:660;78_77:660","true"
"79","304.10119063095124","299.6806786279473","4.786363258077065","-0.3096601397456687","0.03833333333333333","0.01666666666666672","0.06","1400","0.0001858994337493774","0.0001858994337493774","0.0001858994337493774","79_80:0.005179958097111942","79_80:660","true"
"80","186.98307627517087","78.26604596673087","4.8508472173893065","-0.3079830471645371","0.09250000000000003","0.07879999999999998","0.1062","1400","0.0002919415597283811","0.0002919415597283811","0.0002919415597283811","","","true"
"81","209.5012816691661","20.325577052162235","5.002066568794309","-0.28152033709593866","0.13339999999999996","0.13339999999999996","0.1334","1400","0.0008278137669433836","0.0008278137669433836","0.0008278137669433836","81_82:0.018409590062830994;81_72:0.017903416040946363;81_80:0.02614188964834646","81_82:660;81_72:660;81_80:660","true"
"82","111.24341885523748","20.54429283471951","4.902335594091466","-0.3073208151268094","0.0040999999999999925","0.0038000000000000256","0.0044","1400","0.00045611502706898485","0.00045611502706898485","0.00045611502706898485","","","true"
"83","385.6339133470799","94.0165256644887","5.031213758679328","-0.3063243777084493","0.0051000000000001044","0.005600000000000049","0.0046","1400","0.00017251372617255436","0.00017251372617255436","0.00017251372617255436","83_82:0.011691838830117623","83_82:660","true"
"84","228.1747582244882","83.46605718403973","4.894132036896653","-0.3065902831656614","0.050000000000000044","0.046666666666666634","0.05333333333333334","1400","0.00032923150322119473","0.00032923150322119473","0.00032923150322119473","84_83:0.009391215377258566","84_83:660","true"
"85","301.4783375879981","254.84100995652398","4.990676426432948","-0.3065800859785169","0.45666666666666667","0.17333333333333334","0.74","1400","0.000227812052220687","0.000227812052220687","0.000227812052220687","85_84:1;85_73:1","85_84:660;85_73:660","true"
"86","276.13555787911577","70.73855389139825","4.943742780042013","-0.3060679779681569","0.09999999999999998","0.08999999999999997","0.11","1400","0.00039868057324064495","0.00039868057324064495","0.00039868057324064495","86_85:1","86_85:660","true"
"87","357.1089301231313","6.143881011860051","4.892890892844366","-0.3071491684732496","0.04459999999999997","0.03600000000000003","0.0532","1400","0.0027928096785680115","0.0027928096785680115","0.0027928096785680115","87_93:0.06853158710374974;87_88:0.060758262868559204;87_86:0.0635406517355164","87_93:660;87_88:660;87_86:660","true"
"88","91.06866240915662","77.7163098589998","5.052558152807536","-0.304960394436529","0.006099999999999994","0.008199999999999985","0.004","1400","0.000527917438214101","0.000527917438214101","0.000527917438214101","88_89:0.011034967951665364","88_89:660","true"
"89","143.9061986150962","78.99679303089106","4.922670997914407","-0.3066542797849576","0.13190000000000002","0.13419999999999999","0.1296","1400","0.0003668964431940623","0.0003668964431940623","0.0003668964431940623","89_74:0.008158398080249346","89_74:660","true"
"90","158.49169852942674","122.75262725687003","4.9834830177356855","-0.30538470198551193","0.02069999999999994","0.0146","0.026800000000000046","1400","0.0004813869997165044","0.0004813869997165044","0.0004813869997165044","90_75:0.011712767050743561;90_94:0.008046893890059748","90_75:660;90_94:660","true"
"91","422.3975780435294","259.45714821071334","4.869898804011925","-0.3074936357613819","0.07509999999999994","0.07220000000000004","0.078","1400","0.00011683209457880271","0.00011683209457880271","0.00011683209457880271","91_79:0.006038783718231272","91_79:660","true"
"92","276.89885276104303","65.49891578384675","4.943514910701662","-0.30629552269162297","0.022299999999999986","0.0244","0.020199999999999996","1400","0.0004052426667176182","0.0004052426667176182","0.0004052426667176182","92_83:0.008554416960954686;92_102:0.010739738909231272","92_83:660;92_102:660","true"
"93","80.98436505037283","11.018765911910272","4.655463106616789","0","0.1177999999999999","0.16779999999999995","0.0678","1400","0.0031867745619408123","0.0031867745619408123","0.0031867745619408123","93_106:1","93_106:660","true"
"94","343.07906112446574","320.2181951032731","4.892442856736838","-0.3071648351996062","0.008199999999999985","0.008000000000000007","0.0084","1400","0.00009726906809667376","0.00009726906809667376","0.00009726906809667376","94_95:0.003245387955116502","94_95:660","true"
"95","370.0068693558263","141.07293830699368","4.8057959002846955","-0.30918254236870346","0.010499999999999954","0.006800000000000028","0.0142","1400","0.00011066728734608149","0.00011066728734608149","0.00011066728734608149","","","true"
"96","265.4145066860355","265.8764310703672","4.904949618539894","-0.3075517924661106","0.07069999999999999","0.06159999999999999","0.0798","1400","0.00013096532986832512","0.00013096532986832512","0.00013096532986832512","96_109:0.006079135038515288;96_97:0.004192015800190102;96_95:0.004382038921688591","96_109:660;96_97:660;96_95:660","true"
"97","382.60794931867406","342.2552437716157","4.827888891042071","-0.3077086218539215","0.008499999999999952","0.008000000000000007","0.009","1400","0.00018865366336701597","0.00018865366336701597","0.00018865366336701597","97_98:0.005937411259609393","97_98:660","true"
"98","257.7471433339814","31.02254637141938","4.9318590100363915","-0.3071662914424166","0.011900000000000022","0.0084","0.01539999999999997","1400","0.00019496151309241557","0.00019496151309241557","0.00019496151309241557","98_91:0.004696905148390135","98_91:660","true"
"99","282.68498970594175","229.81877296533807","4.847702313987721","-0.3073928429952756","0.020000000000000018","0.0232","0.016800000000000037","1400","0.00025100380432744506","0.00025100380432744506","0.00025100380432744506","99_98:0.005281095045396922","99_98:660","true"
"100","199.421373028014","218.50119234029762","5.038236806746552","-0.305216444060978","0.07279999999999998","0.0126","0.133","1400","0.00020808945212343136","0.00020808945212343136","0.00020808945212343136","100_99:0.005382082495550278;100_110:0.0073762238687257176","100_99:660;100_110:660","true"
"101","322.04574163951514","290.7599985036755","4.786643840928714","-0.30859022081829135","0.01200000000000001","0.0108","0.01319999999999999","1400","0.00014749794146273683","0.00014749794146273683","0.00014749794146273683","101_102:0.005755798930954736;101_100:0.008051372079216829","101_102:660;101_100:660","true"
"102","396.18710790840106","109.46638199097227","4.864164390623332","-0.3079078250736739","0.014900000000000024","0.01100000000000001","0.0188","1400","0.000245118643769622","0.000245118643769622","0.000245118643769622","","","true"
"103","284.28559574234094","89.72631796007084","4.947661389915431","-0.3061106856768402","0.008099999999999996","0.01","0.006199999999999983","1400","0.0006338441423766102","0.0006338441423766102","0.0006338441423766102","103_102:0.009324152799805446;103_104:0.01130396571837039","103_102:660;103_104:660","true"
"104","383.84606906838155","75.05739854473246","4.823258030522306","-0.30887389224640077","0.07833333333333337","0.043333333333333335","0.11333333333333329","1400","0.00019052662128726417","0.00019052662128726417","0.00019052662128726417","104_111:0.03863497092572463;104_105:0.005991032089187942","104_111:660;104_105:660","true"
"105","261.9378960721613","113.60213618957428","4.92367839018575","-0.30744604347870486","0.05729999999999991","0.05679999999999996","0.0578","1400","0.00014656846391359176","0.00014656846391359176","0.00014656846391359176","105_106:1","105_106:660","true"
"106","33.118004991713164","127.2276491792076","4.833835391366063","0","0.20189999999999997","0.39039999999999997","0.0134","1400","0.06257514738159053","0.06257514738159053","0.06257514738159053","106_107:1","106_107:660","true"
"107","393.9237540580223","420.7382186978209","4.737138395168215","-0.3092323185160615","0.02839999999999998","0.0242","0.03259999999999996","1400","0.00008422693380379948","0.00008422693380379948","0.00008422693380379948","","","true"
"108","261.49024408778644","385.1652843766717","4.848575524123544","-0.30758756009823","0.01539999999999997","0.0162","0.014599999999999946","1400","0.00015994840945656483","0.00015994840945656483","0.00015994840945656483","108_107:0.0044084596814648325;108_112:0.008584476510952593","108_107:660;108_112:660","true"
"109","185.68321020779968","55.547526151615386","4.816287111228202","-0.3076224851395677","0.06599999999999995","0.059","0.07299999999999995","1400","0.0003181666548304013","0.0003181666548304013","0.0003181666548304013","109_114:0.005898962148897263","109_114:660","true"
"110","250.1014573339304","57.93851056461544","4.932476494560617","-0.30654326919776725","0.07166666666666666","0.07333333333333336","0.07","1400","0.00028234605521176983","0.00028234605521176983","0.00028234605521176983","110_118:1","110_118:660","true"
"111","104.50880339406714","8.280442665767431","4.772107646309108","-0.27459033814679856","0.10333333333333328","0.10666666666666669","0.1","1400","0.001285712260134924","0.001285712260134924","0.001285712260134924","","","true"
"112","318.7106832319326","277.1164396228702","4.758022408346484","-0.30947821505202616","0.012699999999999934","0.01319999999999999","0.0122","1400","0.0002517965171495503","0.0002517965171495503","0.0002517965171495503","","","true"
"113","377.876183100809","347.62537326549636","4.87815756264205","-0.3074886323823703","0.02729999999999999","0.0224","0.032200000000000006","1400","0.00008585029105018352","0.00008585029105018352","0.00008585029105018352","","","true"
"114","224.36475355701808","55.59845412522502","4.956596069949028","-0.3061319026371913","0.050000000000000044","0.043333333333333335","0.056666666666666664","1400","0.00017565717586608788","0.00017565717586608788","0.00017565717586608788","114_115:0.009628148804892045;114_113:0.005593523244536963","114_115:660;114_113:660","true"
"115","265.2913973509207","224.2640116071703","4.8613792858239","-0.3074906249301007","0.19999999999999996","0.3733333333333333","0.02666666666666667","1400","0.0001823883324393769","0.0001823883324393769","0.0001823883324393769","115_116:0.011067007017168312","115_116:660","true"
"116","130.33317793970036","178.79825011508507","4.925732001667297","-0.30611575224355886","0.040000000000000036","0.040000000000000036","0.04","1400","0.0017622434155826336","0.0017622434155826336","0.0017622434155826336","116_117:0.016198896423359282","116_117:660","true"
"117","293.95727481003144","61.584282462905236","4.8268402933851045","-0.307647357570589","0.053333333333333344","0.050000000000000044","0.056666666666666664","1400","0.000276817234069153","0.000276817234069153","0.000276817234069153","117_118:1","117_118:660","true"
